xs,xmm,xm,xmp,xl,Emotion,Angl,ValAng,FuzzValue,FuzzStr,rule
0.221794749708,0.321906127625,0.381743138545,0.441580149464,0.550435676036,Emo_2,A3,0.369353866634,0.792949685818,M,0.20260988874
0.357771003826,0.533468348865,0.639273066088,0.745077783311,0.996008812936,Emo_2,A4,1.01020584449,1,L,0.20260988874
0.641419946345,0.857218097961,0.971539121773,1.08586014558,1.31549845607,Emo_2,A5,1.42880575307,1,L,0.20260988874
0.657510700054,0.85692331088,1.02865319055,1.20038307022,1.60953662446,Emo_3,A0,1.42880575307,0.688868952283,L,0.139571661778
0.219959286658,0.281332954076,0.317282134664,0.353231315251,0.428979423791,Emo_3,A1,0.211650089568,1.08537766065,S,0.151487963753
0.828849058789,0.980259325018,1.10268627756,1.2251132301,1.46013910562,Emo_3,A2,1.13782203741,0.713006334664,M,0.108011877782
0.138047629649,0.226012577481,0.28932027249,0.352627967498,0.452724508195,Emo_3,A3,0.369353866634,0.489788981289,L,0.0529030275857
0.305298656791,0.455676892827,0.624203464133,0.792730035438,1.28082562563,Emo_3,A4,1.01020584449,0.587860725678,L,0.0310996121871
0.71947913942,0.894556951864,1.07425599257,1.25395503328,1.76464998882,Emo_3,A5,1.42880575307,0.513546992619,L,0.0159711123103
0.835356559119,1.01565071987,1.16537669778,1.31510267569,1.67192317657,Emo_4,A0,1.42880575307,0.520049129382,L,0.00830576305225
0.22283775966,0.25907308296,0.289836720185,0.32060035741,0.381678709518,Emo_4,A1,0.211650089568,1.16698274129,S,0.00969268213522
0.792454497892,0.943265394051,1.06750356375,1.19174173345,1.47584462045,Emo_4,A2,1.13782203741,0.434002659366,M,0.00420664982308
0.134321441953,0.240872887614,0.305000458178,0.369128028743,0.486834027177,Emo_4,A3,0.369353866634,0.353913794964,L,0.00148879140297
0.389227593288,0.628057262455,0.791845169636,0.955633076817,1.34532042373,Emo_4,A4,1.01020584449,0.394526536166,L,0.000587367715287
0.877981209205,1.05551400947,1.20252304514,1.34953208081,1.67192317657,Emo_4,A5,1.42880575307,0.482067841006,L,0.000283151086385
0.663309026,0.864953835264,1.03349425825,1.20203468123,1.60109008671,Emo_5,A0,1.42880575307,0.696466525994,L,0.000197205253466
0.222805275253,0.28187901169,0.317103980913,0.352328950135,0.463519846129,Emo_5,A1,0.211650089568,1.11829627572,S,0.000220533900504
0.941800093701,1.10402242092,1.23807164802,1.37212087511,1.70550664681,Emo_5,A2,1.13782203741,0.338370691189,S,7.46222083442e-05
0.13890006058,0.226329173378,0.287034968164,0.34774076295,0.489816130681,Emo_5,A3,0.369353866634,0.405949435581,L,3.02928433592e-05
0.126496318897,0.410552635534,0.568250576178,0.725948516823,1.18392060906,Emo_5,A4,1.01020584449,0.717844372318,L,2.17455471269e-05
0.671755381348,0.902241846305,1.07253242808,1.24282300985,1.60109008671,Emo_5,A5,1.42880575307,0.67404817463,L,1.46575463472e-05
0.872919842862,1.36635621236,1.57949809558,1.7926399788,2.12213059093,Emo_6,A0,1.42880575307,0.292995162485,M,4.29459017363e-06
0.186446937954,0.219008338932,0.248463747604,0.277919156275,0.348864689973,Emo_6,A1,0.211650089568,0.593607737061,S,2.54930195457e-06
0.747788637329,0.890154154511,1.00410376019,1.11805336587,1.52491019159,Emo_6,A2,1.13782203741,0.256752353952,L,6.54539277771e-07
0.184319382107,0.28801041871,0.344096918445,0.40018341818,0.528433772881,Emo_6,A3,0.369353866634,0.549678651572,M,3.59786267606e-07
0.494109097868,0.99000436202,1.23648801807,1.48297167412,1.85042621448,Emo_6,A4,1.01020584449,0.304806841123,S,1.09665315708e-07
0.87868489372,1.40347124676,1.60966877917,1.81586631157,2.12213059093,Emo_6,A5,1.42880575307,0.247424094708,S,2.713384146e-08
0.672670551807,0.88707464429,1.04121792948,1.19536121468,1.42889927219,Emo_7,A0,1.42880575307,0.999758773216,L,2.71272960507e-08
0.235633140819,0.283323444166,0.320596339561,0.357869234957,0.438433655316,Emo_7,A1,0.211650089568,1.28227575711,S,3.47846740817e-08
0.785935508859,1.08420503743,1.22337880321,1.36255256899,1.69276848232,Emo_7,A2,1.13782203741,0.385252203782,M,1.34008723478e-08
0.167810875431,0.262125553081,0.339958286556,0.417791020032,0.535576560451,Emo_7,A3,0.369353866634,0.622323683552,M,8.33968024229e-09
0.192424972679,0.509993059165,0.664703554511,0.819414049857,1.20092431117,Emo_7,A4,1.01020584449,0.644328451828,L,5.37349325926e-09
0.674740942224,0.923486766193,1.08396789515,1.2444490241,1.56912827163,Emo_7,A5,1.42880575307,0.710770859769,L,3.81932242384e-09
0.739277047383,0.954400827233,1.06833917563,1.18227752403,1.52883623699,Emo_1,A0,1.4382907451,0.803374441476,L,0.803374441476
0.233094672529,0.267774989091,0.296225761014,0.324676532936,0.393715376962,Emo_1,A1,0.217181515067,1.25206531115,S,1.00587727004
0.86522814911,1.01160145867,1.12044348297,1.22928550728,1.49383421297,Emo_1,A2,1.03916733766,0.318461058285,S,0.320332739921
0.205837712835,0.295978060665,0.352208892088,0.408439723511,0.556717537622,Emo_1,A3,0.425937467935,0.360515691916,L,0.115484979376
0.263818963928,0.503478520811,0.631356750514,0.759234980217,1.03037682652,Emo_1,A4,1.05608477328,1,L,0.115484979376
0.739277047383,0.985646072506,1.0998626305,1.2140791885,1.63244649743,Emo_1,A5,1.4382907451,0.635445674598,L,0.0733844306255
0.607801996114,0.824078479397,0.93694809762,1.04981771584,1.2924236591,Emo_2,A0,1.4382907451,1,L,0.0733844306255
0.214041218559,0.24897285089,0.276758791034,0.304544731179,0.383660940781,Emo_2,A1,0.217181515067,0.949929559074,S,0.069710039827
0.825376850521,1.05277624891,1.17689243476,1.30100862062,1.52033415278,Emo_2,A2,1.03916733766,0.391803673228,S,0.0273126496651
0.221794749708,0.321906127625,0.381743138545,0.441580149464,0.550435676036,Emo_2,A3,0.425937467935,0.261421506327,M,0.00714011401722
0.357771003826,0.533468348865,0.639273066088,0.745077783311,0.996008812936,Emo_2,A4,1.05608477328,1,L,0.00714011401722
0.641419946345,0.857218097961,0.971539121773,1.08586014558,1.31549845607,Emo_2,A5,1.4382907451,1,L,0.00714011401722
0.657510700054,0.85692331088,1.02865319055,1.20038307022,1.60953662446,Emo_3,A0,1.4382907451,0.70519751578,L,0.00503519066733
0.219959286658,0.281332954076,0.317282134664,0.353231315251,0.428979423791,Emo_3,A1,0.217181515067,1.02854182392,S,0.00517890419277
0.828849058789,0.980259325018,1.10268627756,1.2251132301,1.46013910562,Emo_3,A2,1.03916733766,0.481168659492,M,0.00249192638807
0.138047629649,0.226012577481,0.28932027249,0.352627967498,0.452724508195,Emo_3,A3,0.425937467935,0.836068874568,L,0.00208342209078
0.305298656791,0.455676892827,0.624203464133,0.792730035438,1.28082562563,Emo_3,A4,1.05608477328,0.657731850174,L,0.00137033306646
0.71947913942,0.894556951864,1.07425599257,1.25395503328,1.76464998882,Emo_3,A5,1.4382907451,0.527285513067,L,0.000722556774023
0.835356559119,1.01565071987,1.16537669778,1.31510267569,1.67192317657,Emo_4,A0,1.4382907451,0.538773950168,L,0.000389294767361
0.22283775966,0.25907308296,0.289836720185,0.32060035741,0.381678709518,Emo_4,A1,0.217181515067,1.08442287088,S,0.000422160149239
0.792454497892,0.943265394051,1.06750356375,1.19174173345,1.47584462045,Emo_4,A2,1.03916733766,0.771920125994,M,0.00032587391559
0.134321441953,0.240872887614,0.305000458178,0.369128028743,0.486834027177,Emo_4,A3,0.425937467935,0.665097266821,L,0.000216737850587
0.389227593288,0.628057262455,0.791845169636,0.955633076817,1.34532042373,Emo_4,A4,1.05608477328,0.477419002366,L,0.000103474768402
0.877981209205,1.05551400947,1.20252304514,1.34953208081,1.67192317657,Emo_4,A5,1.4382907451,0.502274465163,L,5.1972733957e-05
0.663309026,0.864953835264,1.03349425825,1.20203468123,1.60109008671,Emo_5,A0,1.4382907451,0.713177346545,L,3.70657764962e-05
0.222805275253,0.28187901169,0.317103980913,0.352328950135,0.463519846129,Emo_5,A1,0.217181515067,1.05963772405,S,3.92762950465e-05
0.941800093701,1.10402242092,1.23807164802,1.37212087511,1.70550664681,Emo_5,A2,1.03916733766,0.671358108675,S,2.63684591582e-05
0.13890006058,0.226329173378,0.287034968164,0.34774076295,0.489816130681,Emo_5,A3,0.425937467935,0.684987195296,L,1.80620568831e-05
0.126496318897,0.410552635534,0.568250576178,0.725948516823,1.18392060906,Emo_5,A4,1.05608477328,0.792363069578,L,1.43117068347e-05
0.671755381348,0.902241846305,1.07253242808,1.24282300985,1.60109008671,Emo_5,A5,1.4382907451,0.691993221646,L,9.90360411984e-06
0.872919842862,1.36635621236,1.57949809558,1.7926399788,2.12213059093,Emo_6,A0,1.4382907451,0.337495998696,M,3.34242676312e-06
0.186446937954,0.219008338932,0.248463747604,0.277919156275,0.348864689973,Emo_6,A1,0.217181515067,0.504415378893,S,1.68597146214e-06
0.747788637329,0.890154154511,1.00410376019,1.11805336587,1.52491019159,Emo_6,A2,1.03916733766,0.692288733611,M,1.16717904843e-06
0.184319382107,0.28801041871,0.344096918445,0.40018341818,0.528433772881,Emo_6,A3,0.425937467935,0.443972800452,L,5.1819575076e-07
0.494109097868,0.99000436202,1.23648801807,1.48297167412,1.85042621448,Emo_6,A4,1.05608477328,0.268092466326,M,1.38924376861e-07
0.87868489372,1.40347124676,1.60966877917,1.81586631157,2.12213059093,Emo_6,A5,1.4382907451,0.234448443365,S,3.25706039005e-08
0.672670551807,0.88707464429,1.04121792948,1.19536121468,1.42889927219,Emo_7,A0,1.4382907451,1,L,3.25706039005e-08
0.235633140819,0.283323444166,0.320596339561,0.357869234957,0.438433655316,Emo_7,A1,0.217181515067,1.21717197593,S,3.96440263069e-08
0.785935508859,1.08420503743,1.22337880321,1.36255256899,1.69276848232,Emo_7,A2,1.03916733766,0.421109359614,S,1.66944705306e-08
0.167810875431,0.262125553081,0.339958286556,0.417791020032,0.535576560451,Emo_7,A3,0.425937467935,0.439525304398,L,7.33764224173e-09
0.192424972679,0.509993059165,0.664703554511,0.819414049857,1.20092431117,Emo_7,A4,1.05608477328,0.72988822963,L,5.35565870547e-09
0.674740942224,0.923486766193,1.08396789515,1.2444490241,1.56912827163,Emo_7,A5,1.4382907451,0.730321079644,L,3.91135044799e-09
0.739277047383,0.954400827233,1.06833917563,1.18227752403,1.52883623699,Emo_1,A0,1.4382907451,0.803374441476,L,0.803374441476
0.233094672529,0.267774989091,0.296225761014,0.324676532936,0.393715376962,Emo_1,A1,0.217181515067,1.25206531115,S,1.00587727004
0.86522814911,1.01160145867,1.12044348297,1.22928550728,1.49383421297,Emo_1,A2,1.03916733766,0.318461058285,S,0.320332739921
0.205837712835,0.295978060665,0.352208892088,0.408439723511,0.556717537622,Emo_1,A3,0.425937467935,0.360515691916,L,0.115484979376
0.263818963928,0.503478520811,0.631356750514,0.759234980217,1.03037682652,Emo_1,A4,1.05608477328,1,L,0.115484979376
0.739277047383,0.985646072506,1.0998626305,1.2140791885,1.63244649743,Emo_1,A5,1.4382907451,0.635445674598,L,0.0733844306255
0.607801996114,0.824078479397,0.93694809762,1.04981771584,1.2924236591,Emo_2,A0,1.4382907451,1,L,0.0733844306255
0.214041218559,0.24897285089,0.276758791034,0.304544731179,0.383660940781,Emo_2,A1,0.217181515067,0.949929559074,S,0.069710039827
0.825376850521,1.05277624891,1.17689243476,1.30100862062,1.52033415278,Emo_2,A2,1.03916733766,0.391803673228,S,0.0273126496651
0.221794749708,0.321906127625,0.381743138545,0.441580149464,0.550435676036,Emo_2,A3,0.425937467935,0.261421506327,M,0.00714011401722
0.357771003826,0.533468348865,0.639273066088,0.745077783311,0.996008812936,Emo_2,A4,1.05608477328,1,L,0.00714011401722
0.641419946345,0.857218097961,0.971539121773,1.08586014558,1.31549845607,Emo_2,A5,1.4382907451,1,L,0.00714011401722
0.657510700054,0.85692331088,1.02865319055,1.20038307022,1.60953662446,Emo_3,A0,1.4382907451,0.70519751578,L,0.00503519066733
0.219959286658,0.281332954076,0.317282134664,0.353231315251,0.428979423791,Emo_3,A1,0.217181515067,1.02854182392,S,0.00517890419277
0.828849058789,0.980259325018,1.10268627756,1.2251132301,1.46013910562,Emo_3,A2,1.03916733766,0.481168659492,M,0.00249192638807
0.138047629649,0.226012577481,0.28932027249,0.352627967498,0.452724508195,Emo_3,A3,0.425937467935,0.836068874568,L,0.00208342209078
0.305298656791,0.455676892827,0.624203464133,0.792730035438,1.28082562563,Emo_3,A4,1.05608477328,0.657731850174,L,0.00137033306646
0.71947913942,0.894556951864,1.07425599257,1.25395503328,1.76464998882,Emo_3,A5,1.4382907451,0.527285513067,L,0.000722556774023
0.835356559119,1.01565071987,1.16537669778,1.31510267569,1.67192317657,Emo_4,A0,1.4382907451,0.538773950168,L,0.000389294767361
0.22283775966,0.25907308296,0.289836720185,0.32060035741,0.381678709518,Emo_4,A1,0.217181515067,1.08442287088,S,0.000422160149239
0.792454497892,0.943265394051,1.06750356375,1.19174173345,1.47584462045,Emo_4,A2,1.03916733766,0.771920125994,M,0.00032587391559
0.134321441953,0.240872887614,0.305000458178,0.369128028743,0.486834027177,Emo_4,A3,0.425937467935,0.665097266821,L,0.000216737850587
0.389227593288,0.628057262455,0.791845169636,0.955633076817,1.34532042373,Emo_4,A4,1.05608477328,0.477419002366,L,0.000103474768402
0.877981209205,1.05551400947,1.20252304514,1.34953208081,1.67192317657,Emo_4,A5,1.4382907451,0.502274465163,L,5.1972733957e-05
0.663309026,0.864953835264,1.03349425825,1.20203468123,1.60109008671,Emo_5,A0,1.4382907451,0.713177346545,L,3.70657764962e-05
0.222805275253,0.28187901169,0.317103980913,0.352328950135,0.463519846129,Emo_5,A1,0.217181515067,1.05963772405,S,3.92762950465e-05
0.941800093701,1.10402242092,1.23807164802,1.37212087511,1.70550664681,Emo_5,A2,1.03916733766,0.671358108675,S,2.63684591582e-05
0.13890006058,0.226329173378,0.287034968164,0.34774076295,0.489816130681,Emo_5,A3,0.425937467935,0.684987195296,L,1.80620568831e-05
0.126496318897,0.410552635534,0.568250576178,0.725948516823,1.18392060906,Emo_5,A4,1.05608477328,0.792363069578,L,1.43117068347e-05
0.671755381348,0.902241846305,1.07253242808,1.24282300985,1.60109008671,Emo_5,A5,1.4382907451,0.691993221646,L,9.90360411984e-06
0.872919842862,1.36635621236,1.57949809558,1.7926399788,2.12213059093,Emo_6,A0,1.4382907451,0.337495998696,M,3.34242676312e-06
0.186446937954,0.219008338932,0.248463747604,0.277919156275,0.348864689973,Emo_6,A1,0.217181515067,0.504415378893,S,1.68597146214e-06
0.747788637329,0.890154154511,1.00410376019,1.11805336587,1.52491019159,Emo_6,A2,1.03916733766,0.692288733611,M,1.16717904843e-06
0.184319382107,0.28801041871,0.344096918445,0.40018341818,0.528433772881,Emo_6,A3,0.425937467935,0.443972800452,L,5.1819575076e-07
